run_id,emb_dim,num_filters,kernel_size,class_weight,dense_units,dropout_rate,epochs,batch_size,accuracy,precision,recall,f1_score
158,32,32,3,FALSE,16,0,20,16,0.666666667,0.54036192,0.666666667,0.59095205
159,32,32,3,FALSE,16,0.5,10,16,0.559139785,0.450253368,0.559139785,0.448388918
160,32,32,3,FALSE,16,0.5,20,16,0.688172043,0.601221134,0.688172043,0.62006781
161,32,32,3,FALSE,16,0.8,10,16,0.602150538,0.49412991,0.602150538,0.518809659
162,32,32,3,FALSE,16,0.8,20,16,0.655913978,0.561643056,0.655913978,0.578937381
163,32,32,3,FALSE,32,0,10,16,0.612903226,0.493809058,0.612903226,0.539533585
164,32,32,3,FALSE,32,0,20,16,0.806451613,0.80268119,0.806451613,0.785613299
165,32,32,3,FALSE,32,0.5,10,16,0.580645161,0.454453236,0.580645161,0.483231663
166,32,32,3,FALSE,32,0.5,20,16,0.677419355,0.572580645,0.677419355,0.599761051
167,32,32,3,FALSE,32,0.8,10,16,0.569892473,0.444607364,0.569892473,0.492780338
168,32,32,3,FALSE,32,0.8,20,16,0.64516129,0.51797235,0.64516129,0.568914956
169,32,32,8,TRUE,16,0,10,16,0.612903226,0.720560443,0.612903226,0.533464186
170,32,32,8,TRUE,16,0,20,16,0.655913978,0.730238341,0.655913978,0.667665268
171,32,32,8,TRUE,16,0.5,10,16,0.634408602,0.691039427,0.634408602,0.62390419
172,32,32,8,TRUE,16,0.5,20,16,0.677419355,0.7267661,0.677419355,0.668508875
173,32,32,8,TRUE,16,0.8,10,16,0.64516129,0.741484087,0.64516129,0.627737985
174,32,32,8,TRUE,16,0.8,20,16,0.698924731,0.768219833,0.698924731,0.685021649
175,32,32,8,TRUE,32,0,10,16,0.688172043,0.805764128,0.688172043,0.695097203
176,32,32,8,TRUE,32,0,20,16,0.784946237,0.811790539,0.784946237,0.782447546
177,32,32,8,TRUE,32,0.5,10,16,0.698924731,0.728441914,0.698924731,0.657761877
178,32,32,8,TRUE,32,0.5,20,16,0.741935484,0.813795016,0.741935484,0.750340294
179,32,32,8,TRUE,32,0.8,10,16,0.559139785,0.701278013,0.559139785,0.567853968
180,32,32,8,TRUE,32,0.8,20,16,0.688172043,0.568540582,0.688172043,0.605144495
181,32,32,8,FALSE,16,0,10,16,0.688172043,0.582795185,0.688172043,0.619596075
182,32,32,8,FALSE,16,0,20,16,0.838709677,0.828733932,0.838709677,0.825755368
183,32,32,8,FALSE,16,0.5,10,16,0.655913978,0.510240655,0.655913978,0.569875644
184,32,32,8,FALSE,16,0.5,20,16,0.731182796,0.606630824,0.731182796,0.654793871
185,32,32,8,FALSE,16,0.8,10,16,0.612903226,0.480587513,0.612903226,0.520535414
186,32,32,8,FALSE,16,0.8,20,16,0.666666667,0.512054329,0.666666667,0.578092756
187,32,32,8,FALSE,32,0,10,16,0.677419355,0.597834833,0.677419355,0.614208332
188,32,32,8,FALSE,32,0,20,16,0.795698925,0.778720996,0.795698925,0.768817204
189,32,32,8,FALSE,32,0.5,10,16,0.64516129,0.533032485,0.64516129,0.565965063
190,32,32,8,FALSE,32,0.5,20,16,0.752688172,0.712037766,0.752688172,0.713857747
191,32,32,8,FALSE,32,0.8,10,16,0.64516129,0.5721309,0.64516129,0.564038232
192,32,32,8,FALSE,32,0.8,20,16,0.677419355,0.538995735,0.677419355,0.590192626
193,32,64,3,TRUE,16,0,10,16,0.419354839,0.45287041,0.419354839,0.396170159
194,32,64,3,TRUE,16,0,20,16,0.731182796,0.822715994,0.731182796,0.744189897
195,32,64,3,TRUE,16,0.5,10,16,0.365591398,0.505062297,0.365591398,0.345737351
196,32,64,3,TRUE,16,0.5,20,16,0.666666667,0.727658805,0.666666667,0.676481825
197,32,64,3,TRUE,16,0.8,10,16,0.451612903,0.598722144,0.451612903,0.468341408
198,32,64,3,TRUE,16,0.8,20,16,0.591397849,0.605703854,0.591397849,0.56046829
199,32,64,3,TRUE,32,0,10,16,0.634408602,0.717869944,0.634408602,0.596576829
200,32,64,3,TRUE,32,0,20,16,0.623655914,0.842129794,0.623655914,0.650528737
201,32,64,3,TRUE,32,0.5,10,16,0.47311828,0.421983274,0.47311828,0.421935424
202,32,64,3,TRUE,32,0.5,20,16,0.677419355,0.810566494,0.677419355,0.693470662
203,32,64,3,TRUE,32,0.8,10,16,0.602150538,0.77592532,0.602150538,0.611266273
204,32,64,3,TRUE,32,0.8,20,16,0.548387097,0.84250313,0.548387097,0.568823883
205,32,64,3,FALSE,16,0,10,16,0.688172043,0.589520396,0.688172043,0.619994115
206,32,64,3,FALSE,16,0,20,16,0.741935484,0.683046344,0.741935484,0.693397789
207,32,64,3,FALSE,16,0.5,10,16,0.591397849,0.448639622,0.591397849,0.492013148
208,32,64,3,FALSE,16,0.5,20,16,0.688172043,0.585168031,0.688172043,0.619357738
209,32,64,3,FALSE,16,0.8,10,16,0.537634409,0.330431814,0.537634409,0.397948312
210,32,64,3,FALSE,16,0.8,20,16,0.580645161,0.496000648,0.580645161,0.496673864
211,32,64,3,FALSE,32,0,10,16,0.709677419,0.636107595,0.709677419,0.654078943
212,32,64,3,FALSE,32,0,20,16,0.774193548,0.779487267,0.774193548,0.754651887
213,32,64,3,FALSE,32,0.5,10,16,0.591397849,0.554514973,0.591397849,0.505977893
214,32,64,3,FALSE,32,0.5,20,16,0.677419355,0.566188769,0.677419355,0.607213575
215,32,64,3,FALSE,32,0.8,10,16,0.602150538,0.504694325,0.602150538,0.514178155
216,32,64,3,FALSE,32,0.8,20,16,0.666666667,0.543458781,0.666666667,0.586748038
217,32,64,8,TRUE,16,0,10,16,0.677419355,0.776493949,0.677419355,0.618314748
218,32,64,8,TRUE,16,0,20,16,0.784946237,0.880362767,0.784946237,0.814224869
219,32,64,8,TRUE,16,0.5,10,16,0.76344086,0.788273758,0.76344086,0.753150221
220,32,64,8,TRUE,16,0.5,20,16,0.731182796,0.846187683,0.731182796,0.760570817
221,32,64,8,TRUE,16,0.8,10,16,0.516129032,0.528509436,0.516129032,0.498233989
222,32,64,8,TRUE,16,0.8,20,16,0.731182796,0.747670251,0.731182796,0.726915856
223,32,64,8,TRUE,32,0,10,16,0.612903226,0.823294247,0.612903226,0.611690954
224,32,64,8,TRUE,32,0,20,16,0.774193548,0.846594982,0.774193548,0.793576106
